order_book_id,datetime,close,low,total_turnover,open_interest,trading_date,volume,high,open
IF2309,2023-06-06 10:49:00,3822.4,3821.8,22934940.0,74579.0,2023-06-06,20.0,3823.2,3822.0
IF2309,2023-06-06 10:50:00,3823.4,3822.0,37846320.0,74605.0,2023-06-06,33.0,3823.4,3822.8
IF2309,2023-06-06 10:51:00,3823.8,3823.8,55079640.0,74629.0,2023-06-06,48.0,3825.6,3824.0
IF2309,2023-06-06 10:52:00,3823.8,3822.4,19498260.0,74638.0,2023-06-06,17.0,3823.8,3823.8
IF2309,2023-06-06 10:53:00,3823.6,3823.0,32129340.0,74650.0,2023-06-06,28.0,3826.8,3823.0
IF2309,2023-06-06 10:54:00,3827.6,3822.4,27534240.0,74659.0,2023-06-06,24.0,3827.6,3822.8
IF2309,2023-06-06 10:55:00,3826.6,3824.8,40181460.0,74669.0,2023-06-06,35.0,3828.0,3827.6
IF2309,2023-06-06 10:56:00,3826.0,3826.0,20663160.0,74669.0,2023-06-06,18.0,3827.2,3826.4
IF2309,2023-06-06 10:57:00,3824.6,3824.0,24096780.0,74672.0,2023-06-06,21.0,3826.0,3826.0
IF2309,2023-06-06 10:58:00,3824.4,3824.0,18360720.0,74678.0,2023-06-06,16.0,3826.0,3825.0
IF2309,2023-06-06 10:59:00,3825.8,3824.4,24097980.0,74678.0,2023-06-06,21.0,3825.8,3824.8
IF2309,2023-06-06 11:00:00,3824.8,3824.6,26399100.0,74683.0,2023-06-06,23.0,3827.0,3825.6
IF2309,2023-06-06 11:01:00,3823.6,3823.6,25240920.0,74690.0,2023-06-06,22.0,3825.0,3824.8
IF2309,2023-06-06 11:02:00,3822.6,3821.4,40134720.0,74708.0,2023-06-06,35.0,3823.2,3823.0
IF2309,2023-06-06 11:03:00,3821.4,3821.4,18344880.0,74710.0,2023-06-06,16.0,3822.6,3822.6
IF2309,2023-06-06 11:04:00,3819.2,3819.2,30945780.0,74720.0,2023-06-06,27.0,3821.4,3821.4
IF2309,2023-06-06 11:05:00,3822.4,3819.4,14902560.0,74723.0,2023-06-06,13.0,3822.4,3819.8
IF2309,2023-06-06 11:06:00,3824.2,3822.0,52775640.0,74733.0,2023-06-06,46.0,3825.4,3822.0
IF2309,2023-06-06 11:07:00,3826.0,3824.0,37871580.0,74743.0,2023-06-06,33.0,3826.8,3824.0
IF2309,2023-06-06 11:08:00,3825.8,3825.0,48205440.0,74757.0,2023-06-06,42.0,3826.4,3826.4
IF2309,2023-06-06 11:09:00,3824.6,3823.6,16063080.0,74760.0,2023-06-06,14.0,3825.4,3825.4
IF2309,2023-06-06 11:10:00,3825.6,3824.4,39017460.0,74768.0,2023-06-06,34.0,3826.0,3824.6
IF2309,2023-06-06 11:11:00,3824.2,3824.2,12622080.0,74772.0,2023-06-06,11.0,3826.0,3826.0
IF2309,2023-06-06 11:12:00,3826.0,3824.2,59689740.0,74773.0,2023-06-06,52.0,3827.4,3824.2
IF2309,2023-06-06 11:13:00,3825.8,3824.8,16066920.0,74776.0,2023-06-06,14.0,3826.4,3826.0
